regiao,faixa_renda,diver
Sudeste,Acima de 20k,0.0
Nordeste,Até 20k,0.8033624048662891
Sudeste,Acima de 20k,0.12669230892792038
Sul,Acima de 20k,0.5474324108902989
Sudeste,Acima de 20k,0.8770071115634106
Sudeste,Até 20k,0.0
Centro-Oeste,Acima de 20k,0.011295484872002956
Sudeste,Acima de 20k,0.43652629113847585
Sudeste,Até 20k,0.0
Nordeste,Acima de 20k,0.6172575937333801
Sul,Até 20k,0.11743995255371381
Sul,Acima de 20k,0.21208478645719883
Sudeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.0
Nordeste,Acima de 20k,8.82547490537815e-05
Sul,Acima de 20k,0.0
Sul,Acima de 20k,0.0
Sudeste,Acima de 20k,0.5154639315873801
Sudeste,Até 20k,0.0
Sul,Acima de 20k,0.11743876785724902
Nordeste,Até 20k,0.0
Sul,Até 20k,0.0196172476368751
Sudeste,Acima de 20k,0.02999103416343534
Centro-Oeste,Até 20k,0.0
Sul,Acima de 20k,0.1546985106706666
Sul,Acima de 20k,0.15595985840689072
Sul,Até 20k,0.27991226477449244
Sudeste,Acima de 20k,0.0
Sul,Acima de 20k,0.3139648156738015
Sudeste,Acima de 20k,0.201691330694318
Sudeste,Até 20k,0.0
Norte,Acima de 20k,0.0
Nordeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.4919395415031869
Sudeste,Acima de 20k,0.7939404510179743
Norte,Acima de 20k,0.10305855410211112
Sudeste,Acima de 20k,0.5424485072932472
Nordeste,Acima de 20k,0.4694000853583317
Sudeste,Acima de 20k,0.28531103566397004
Sudeste,Acima de 20k,0.07149572131246071
Centro-Oeste,Acima de 20k,0.3661206115818207
Sul,Até 20k,0.04600522534285542
Sudeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.7190943766735779
Sul,Acima de 20k,0.0
Sul,Acima de 20k,0.5404427259649563
Sul,Até 20k,0.0
Sudeste,Acima de 20k,0.009039371616227814
Sudeste,Até 20k,0.4459065899386819
Sudeste,Até 20k,0.022269707538350548
Sudeste,Até 20k,0.7500997806215809
Nordeste,Até 20k,0.8091250627908757
Sudeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.28433381998836404
Sudeste,Acima de 20k,0.4495306757886685
Centro-Oeste,Acima de 20k,0.5023831741140469
Sul,Acima de 20k,0.12664463503499157
Nordeste,Até 20k,0.0
Sudeste,Acima de 20k,0.0
Sudeste,Até 20k,0.0
Nordeste,Acima de 20k,0.4066126347851374
Sul,Acima de 20k,0.8142647744447153
Centro-Oeste,Acima de 20k,0.42750888201296566
Centro-Oeste,Acima de 20k,0.0003915237592849932
Sudeste,Até 20k,0.0
Sul,Acima de 20k,0.028724606621002964
Sudeste,Até 20k,0.0
Sudeste,Até 20k,0.0
Nordeste,Até 20k,0.31167183136961374
Sudeste,Até 20k,0.3614326892614903
Sudeste,Até 20k,0.04869450990642833
Sudeste,Acima de 20k,0.624014225340271
Sudeste,Acima de 20k,0.0013413252805956394
Sul,Acima de 20k,0.09288762108320547
Sul,Acima de 20k,0.3570949280776927
Sudeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.3765196921363595
Nordeste,Acima de 20k,9.889700853223916e-05
Sudeste,Acima de 20k,0.4029218878696206
Nordeste,Até 20k,0.0
Nordeste,Acima de 20k,0.17099856855291254
Sudeste,Até 20k,0.0
Sudeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.02736030705609903
Sudeste,Acima de 20k,0.206252593653796
Sudeste,Acima de 20k,0.0
Sudeste,Até 20k,0.12663499060391337
Sudeste,Até 20k,0.0
Sudeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.48748677855782513
Sudeste,Até 20k,0.0
Sudeste,Até 20k,0.4300033265067716
Nordeste,Acima de 20k,0.9995003360458062
Sudeste,Acima de 20k,0.0
Sul,Acima de 20k,0.5217976336772451
Sudeste,Até 20k,0.9897332755099918
Sudeste,Até 20k,0.8145613170219423
Sul,Até 20k,0.0
Sudeste,Acima de 20k,0.20567339538470383
Sudeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.23598782528507414
Sudeste,Acima de 20k,0.46620658482153887
Sudeste,Até 20k,0.16103314740565908
Sudeste,Até 20k,0.0
Sudeste,Até 20k,0.0
Sudeste,Acima de 20k,0.3379024840305522
Sudeste,Acima de 20k,0.9598992243809491
Centro-Oeste,Acima de 20k,0.6352527453372528
Sudeste,Acima de 20k,0.013233280028116695
Sudeste,Acima de 20k,0.0
Nordeste,Até 20k,0.011765969604996714
Sudeste,Até 20k,0.00193247574496833
Sudeste,Até 20k,0.0
Sudeste,Acima de 20k,0.7882229152358002
Sul,Até 20k,0.2608100814252035
Sul,Acima de 20k,0.5164207638803022
Sul,Acima de 20k,0.0
Sudeste,Acima de 20k,0.02040116500853909
Sul,Acima de 20k,0.14413498400637936
Sul,Acima de 20k,0.045092242288990905
Sul,Acima de 20k,0.14426911413298357
Nordeste,Acima de 20k,0.09389615993953612
Nordeste,Até 20k,0.0
Sudeste,Até 20k,0.3375003712993567
Sudeste,Acima de 20k,0.0
Sudeste,Até 20k,0.4106790162554801
Sudeste,Acima de 20k,0.0
Sul,Acima de 20k,0.0
Sul,Até 20k,0.0
Sudeste,Acima de 20k,0.11368678313577138
Sudeste,Acima de 20k,0.4644996768922074
Nordeste,Acima de 20k,0.2205468902406219
Sudeste,Até 20k,0.7487543215726931
Norte,Acima de 20k,0.0
Sul,Acima de 20k,0.18654531153072315
Sudeste,Até 20k,0.0
Sudeste,Acima de 20k,0.014461609740216803
Sudeste,Acima de 20k,0.0
Nordeste,Até 20k,0.0
Sul,Acima de 20k,0.08570472666655579
Sul,Acima de 20k,0.3039498733120179
Sudeste,Até 20k,0.9989827430445264
Sudeste,Acima de 20k,0.616094867041234
Sudeste,Acima de 20k,0.0
Nordeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.4737955340369508
Sudeste,Acima de 20k,0.6380292374600463
Sudeste,Acima de 20k,0.023556383797928716
Centro-Oeste,Até 20k,0.0
Sudeste,Acima de 20k,0.13655504096349338
Sudeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.0
Centro-Oeste,Acima de 20k,0.0
Nordeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.6821066604114359
Sudeste,Acima de 20k,0.1529885192305974
Centro-Oeste,Acima de 20k,0.622476576644319
Nordeste,Até 20k,0.6233819791672865
